English,Russian
1652 Massachusetts Bay Colony Oak Tree Shilling,Шиллинг Дубового Дерева колонии Массачусетского залива 1652 года
1800 Draped Bust Dollar,Доллар с Драпированным Бюстом 1800 года
Aborting Actions,Отмена Действий
Acheri,Ачери
Action Turn,Боевой Ход
Actions,Действия
Actor,Люди
Actor Levels,Истинный Друг
Adhene,Адхене
Affinity,Предрасположенность
Age of Beautiful Sadness,Эпоха Прекрасной Печали
Age of Legends,Эпоха Легенд
Age of Tribulation,Эпоха Страданий
Aggravated Damage,Аггравированный урон
Aiming,Прицеливание
Aithu,Айту
Akashic Brotherhood,Братство Акаши
Albion,Альбион
Ali'i,Али'и
Alpha,Альфа
Amazing Powers,Удивительные силы
Ambush,Засада
Anchors,Якоря
Animal Speech,Речь Животных
Antagonists,Антагонисты
Anthology,Антология
Antithesis,Антитеза
Aonides,Аониды
Apolliae,Аполлии
Aquis,Аквис
Araminae,Арамины
Arcadia,Аркадия
Arcane Artifact (Prop •••••),Тайный Артефакт
Ariá,Ариа
Armor,Броня
Art of Ruin,Искусство Разрушения
Arts,Искусства
Attack Phase,Фаза Атаки
Attributes,Атрибуты
August Personage of Jade,Августейший Персонаж Нефрита
Automatic Feats,Автоматические действия
Automatic Fire,Автоматический огонь
Automatic Success,Автоматический успех
Autumn,Осень
Autumn Kinain,Осенние Кинэйны
Balefire,Огонь Очага
Banal Death,Банальная смерть
Banal Structure,Банальная структура
Banality,Банальность
Banality Purification System,Система очищения от Банальности
Banality Triggers,Триггеры Банальности
Baron,Барон
Baron Sevastyan,Барон Севастьян
Baroness,Баронесса
Baroness Zhanna Ved'ma,Баронесса Жанна Ведьма
Bashing Damage,Ударный урон
Beast,Зверь
Beasties,Зверюшки
Bedlam,Бедлам
Bedlam Thresholds,Пороги Бедлама
Bellatierra,Беллатьерра
Bellerophon Foundation,Фонд Беллерофонт
Benefactor,Благодетель
Bestowments,Дарования
Birch,Берёза
Birthrights,Право Рождения
Black Court,Чёрный Двор
Black Spiral Dancers,Танцоры Чёрной Спирали
Black Widow,Чёрная Вдова
Blessing,Благословение
Blinded,Ослепление (состояние)
Blinding,Ослепление
Blocking,Блокирование
Blood Pool,Пул Крови
Bodachs,Бодахи
Body Slam,Таран
Boggan,Богган
Boggarts,Боггарты
Bogies,Боуги
Boon,Благо
Botches,Ботч
Brand,Клеймо
Brand of the Cadaver,Клеймо Трупа
Brand of the Forsaken,Клеймо Отверженного
Brand of the Iconoclast,Клеймо Иконоборца
Brand of the Lich,Клеймо Лича
Brand of the Quisling,Клеймо Предателя
Brand of the Unholy,Клеймо Нечестивого
Bright Echoes (Time ••••),Яркие Отголоски
Brute,Громила
Bucky,Баки
Bumpkin,Крестьянин
Bunks,Банки
Caer Ogun,Каэр Огун
Caledonia,Каледония
Caliphate of Cedars,Халифат Кедров
Calling,Призвание
Camps,Лагеря
Canotili,Канотили
Cantrips,Заговоры
Castigate,Кара
Casual Contract,Случайный контракт
Changeling,Подменыш
Changeling Way,Путь Подменышей
Chanteurs,Певцы
Chapter,Глава
Character Clash,Конфликт Персонажей
Character Concept,Концепция персонажа
Character Driven,"Игра, Ориентированная на Персонажей"
Charlatan,Шарлатан
Chi,Ци
Chicanery,Обман
Childling,Дитя
Chimera,Химеры
Chimerical,Химерический
Chimerical Damage,Химерический урон
Chimerical Death,Химерическая смерть
Chronos,Хронос
Chrysalis,Кризалис
Chu Jung,Чу Цзюнь
Chu-ih-yu,Чу-и-юй
Climax,Кульминация
Climbing,Лазание
Close Combat,Ближний Бой
Clurichaun,Клоришон
Collington Square Park,Парк Коллингтон-сквер
Combat,Бой
Combat Maneuvers,Боевые Маневры
Complete Stranger (Actor ••••),Незнакомец
Complex Machine (Prop ••••),Сложная Машина
Concordia,Конкордия
Contract,Договор
Corbies,Корби
Cottonwood,Тополь
Courtier,Придворный
Courtly Etiquette,Придворный этикет
Courtly Grace,Придворная Грация
Courts,Дворы
Cover,Укрытие
Crafted Tool (Prop ••),Цельный Инструмент
Crafted Treasures,Изготовленные Сокровища
Crafter,Ремесленник
Credibility,Убедительность
Crinos,Кринос
Cry For Aid,Зов о Помощи
Cryptids,Криптиды
Cut-Away,Переключение сцены
Cymru,Кимру
Cù Sìth,Ку Ши
Daityas,Дайтьи
Dame,Дама
Dame Amici,Дама Амичи
Dandy,Денди
Dark Glamour,Тёмный Гламур
Dark-kin,Тёмнородные
Dauntain,Даунтэйн
Dauntain-Blooded,Даунтэйнокровный
Deep Dreaming,Глубинные Грезы
Defense Phase,Фаза Защиты
Denizens,Обитатели
Desperate Defense,Отчаянная Защита
Devourer,Пожиратель
Di Tan,Ди Тань
Dice Pool,Пул костей
Difficulties,Сложности
Dioniae,Дионии
Dire Enemy (Actor •••••),Заклятый Враг
Disarm,Обезоруживание
Dodging,Уклонение
Dolaidh,Долай
Done Deal,Сделано
Downtime,Передышка
Dr. Stark,Доктор Старк
Dragon's Ire,Драконий Огонь
Dramatic Systems,Драматические системы
Dream Eaters,Пожиратели Снов
Dream Interpretation,Толкование снов
Dream Mechanics,Механики Грёз
Dream Spheres,Сферы Грёз
Dreamed Chimera,Грёзовые химеры
Dreamed Voile,Грёзовая вуаль
Dreamers,Мечтатели
Dreamform,Форма Грёз
Dreaming,Греза
Dreamstuff,Грёзовещество
Dross,Дросс
Dweomer of Glamour (Fae •••••),Колдовство Гламура
Dán,Дан
Elusive Gallain (Fae ••••),Неуловимый Галлейн
Empire of the Caucasus,Империя Кавказа
Empire of the Firebird,Империя Жар-Птицы
Enchanted,Зачарованные
Entangle,Опутывание
Epiphany,Эпифания
Escheat,Наследный Закон
Eshu,Эшу
Established Gateways,Установленные врата
Evanescence,Исчезновение
Extended Actions,Продленные действия
Facedown,Противостояние взглядов
Fae,Фея
Fae Death,Фейская смерть
Fae Levels,Добродушный Простолюдин
Fae Mien,Мьен (или Истинный Облик)
Fae-Blooded,Феекровный
Faerie,Фея
Faerie Blood,Фейская Кровь
Failure,Провал
Fairy Cats,Сказочные Кошки
Familiar Face (Actor •••),Узнаваемое Лицо
Families,Семьи
Far Dreaming,Дальние Грёзы
Fast-Talk,Быстрая речь
Fatalist,Фаталист
Fateful Trigger (Time •••),Роковой Спуск
Feats of Strength,Применение силы
Feral Animal (Nature ••••),Дикое Животное
Feral Chimera,Дикие Химеры
Fetters,Оковы
Fianna,Фианна
Fictionalized Settings,Вымышленные Сеттинги
Fin Bheara,Фин Беара
Fir-bholg,Фирболги
Firchlis,Фирхлис
Flank and Rear Attacks,Фланговые и Тыловые Атаки
Flashback,Флешбэк
Flaw,Недостаток
Fomorians,Фоморы
Fool,Шут
Forged Chimera,Кованые химеры
Frailties,Слабости
Frame Tale,Рассказ в Рассказе
Freeholds,Фригольды
Fu Hsi,Фу Си
Fuath,Фуат
Galacian Confederation,Галацкая Конфедерация
Gallain,Галлэйн
Gatekeeper,Привратник
Get of Fenris,Дети Фенрира
Ghasts,Гасты
Ghille Dhu,Гилли Дху
Gibraltar,Гибралтар
Gladelings,Гладлинги
Glades,Поляны
Glamour,Гламур
Glomes,Гломы
Glorious Renewal (Time •••••),Славное Обновление
Gnosis,Гнозис
Goblins,Гоблины
Golden Rule,Золотое Правило
Grand Bazaar,Великий базар
Granite,Гранит
Grapple,Захват
Grotesque,Гротеск
Group Character Creation,Групповое Создание Персонажей
Grump,Старец
Halostian,Халостиан
Hana,Хана
Hanumen,Ханумен
Harbingers,Предвестники
Harbingers of Autumn,Предвестники Осени
Harvesting,Собирательство
Heart of Fear,Сердце Страха
Hearth,Очаг
Heiau,Хейау
Hellenic Empire,Эллинская Империя
Hellsteed,Адский Скакун
Heng Po,Хэн По
Heritage,Наследствие
Hermit,Отшельник
Hero's Journey,Путь Героя
Hibernia,Гиберния
Higher Hunting Grounds,Высшие Охотничьи Угодья
Hirayanu,Хираяну
Hold,Удержание
Homestead,Усадьба
Hot Seat,Горячий Стул
Hotei form,Форма Хотэй
Hou Tan,Хоу Тань
Hou-Chi,Хоу-Чи
House Aesin,Дом Эйзин
House Ailil,Дом Эйлиль
House Balor,Дом Балор
House Beaumayn,Дом Бомайн
House Daireann,Дом Дэйрин
House Danaan,Дом Данаан
House Dougal,Дом Дугал
House Eiluned,Дом Эйлунд
House Fiona,Дом Фиона
House Gwydion,Дом Гвидион
House Leanhaun,Дом Лианнан
House Liam,Дом Лиам
House Scathach,Дом Скатах
House Varich,Дом Варич
Hsien,Шэн
